Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 19:48:07,PFNKXS54,"El estado en el que el ser humano se siente pleno, se siente tranquilo, se siente querido, un estado en el cual las personas se sienten alegres y comparten su vibra bonita combinada con amor.","El estado en el que el ser humano se siente pleno, se siente tranquilo, se siente querido, un estado en el cual las personas se sienten alegres y comparten su vibra bonita combinada con amor.",53
4/23/2024 19:48:07,MKZUPRJI, Paz y alegría ,Paz y alegría,5
4/23/2024 19:48:07,UJCL56SG,"La felicidad la describiría acorde al conceto de libertad que tenga cada uno, ya que considero que la libertad es proporcional a la ignorancia de las causas que te condicionan, por lo que mi felicidad depende de que tanto sepa que me constituye.","La felicidad la describiría acorde al conceto de libertad que tenga cada uno, ya que considero que la libertad es proporcional a la ignorancia de las causas que te condicionan, por lo que mi felicidad depende de que tanto sepa que me constituye.",61
4/23/2024 19:48:07,B2KUCT4P,Felicidad es cuando sientes una paz en ti ,Felicidad es cuando sientes una paz en ti,11
4/23/2024 19:48:07,GXLRPJ5F,"La felicidad son las pequeñas cosas que hacemos día con día y nos ayudan a crecer, a mejorar y a sentirnos plenos con nosotros mismos. ","La felicidad son las pequeñas cosas que hacemos día con día y nos ayudan a crecer, a mejorar y a sentirnos plenos con nosotros mismos.",36
4/23/2024 19:48:07,U1856WJ8,La paz,La paz,2
4/23/2024 19:48:07,ADDP44O9,Estar en paz produce felicidad ,Estar en paz produce felicidad,8
4/23/2024 19:48:07,EL85BQ8X,Vive la vida a tu manera,Vive la vida a tu manera,6
4/23/2024 19:48:07,9LGMBDLF,La sensación de tranquilidad y calidez en cada suspiro,La sensación de tranquilidad y calidez en cada suspiro,16
4/23/2024 19:48:07,TUW6M31C,La felicidad es todo aquello qué te mantenga emocionado sin generar preocupación ,La felicidad es todo aquello qué te mantenga emocionado sin generar preocupación,22
4/23/2024 19:48:07,XH7ERTSE,Hacer lo que te apasiona.,Hacer lo que te apasiona.,8
4/23/2024 19:48:07,HNAK6DR5,Paz,Paz,1
4/23/2024 19:48:07,IAADDB7O,"Más allá de lo básico de tener con que subsistir, vivir despreocupado y dentro de la medida divertirse en el camino sería la felicidad para mí, no es algo en específico o físico que puedas guardar, si no que en la vida hay momentos de felicidad y de tristeza, no puede ser siempre felicidad porque se volvería aburrido","Más allá de lo básico de tener con que subsistir, vivir despreocupado y dentro de la medida divertirse en el camino sería la felicidad para mí, no es algo en específico o físico que puedas guardar, si no que en la vida hay momentos de felicidad y de tristeza, no puede ser siempre felicidad porque se volvería aburrido",80
4/23/2024 19:48:07,7FKG0LV6,"Disfrutar cada día ,cada momento que haces ,no esperar o dejar pasar el tiempo ","Disfrutar cada día ,cada momento que haces ,no esperar o dejar pasar el tiempo",19
4/23/2024 19:48:07,HJB227EF,estar en casa ,estar en casa,3
4/23/2024 19:48:07,GBDDJNH0,"Sentirse bien con uno mismo, tener amor propio.","Sentirse bien con uno mismo, tener amor propio.",11
4/23/2024 19:48:07,9ZRTSOTK,"La felicidad es la armonía entre aceptación, propósito y conexión. ","La felicidad es la armonía entre aceptación, propósito y conexión.",17
4/23/2024 19:48:07,0FQMQ0V1,Cuando sonries sin alguna razon aparente y todo lo malo se va ,Cuando sonries sin alguna razon aparente y todo lo malo se va,14
4/23/2024 19:48:07,60S1CVNZ,Estar cómodo con lo que se ha logrado con tanto trabajo,Estar cómodo con lo que se ha logrado con tanto trabajo,14
4/23/2024 19:48:07,GKU8ECFL,Felicidad es el momento en el que estas bien contigo mismo fisica y mentalmente ,Felicidad es el momento en el que estas bien contigo mismo fisica y mentalmente,18
4/23/2024 19:48:07,WED8UH5D,Tranquilidad ,Tranquilidad,4
4/23/2024 19:48:07,FM5YVNM2,La felicidad es momentánea pero siempre puede estar presente si asi lo buscamos ,La felicidad es momentánea pero siempre puede estar presente si asi lo buscamos,18
4/23/2024 19:48:07,TOKIQV38,"Felicidad es abstracto, pero para mí significa paz, alegría pura y diversión.","Felicidad es abstracto, pero para mí significa paz, alegría pura y diversión.",21
4/23/2024 19:48:16,QHVZR83J,"Es un momento en el cual sentimos que estamos en el lugar correcto y bien con nosotros mismos.
Por ejemplo cuando estamos con las personas que más amamos o cuando hacemos las actividades que más nos gustan.",Es un momento en el cual sentimos que estamos en el lugar correcto y bien con nosotros mismos. Por ejemplo cuando estamos con las personas que más amamos o cuando hacemos las actividades que más nos gustan.,47
4/23/2024 19:52:34,QXIEYINQ,Hacer las cosas que más te gustan y dejar de preocuparse por cosas insignificantes.,Hacer las cosas que más te gustan y dejar de preocuparse por cosas insignificantes.,23
4/23/2024 20:03:37,KLWAYA6Z,"Que está en las cosas más simples, en todo lo que nos rodea y en los pequeños detalles ","Que está en las cosas más simples, en todo lo que nos rodea y en los pequeños detalles",20
